origin,destination,count
Archway,Bond_Street,1
Archway,Golders_Green,1
Archway,Pimlico,1
Baker_Street,Euston_Square,1
Baker_Street,Southwark,1
Baker_Street,Waterloo_LU,1
Blackfriars_NR,St_Pancras_International,1
Bond_Street,Finchley_Road,1
Brixton_LU,Willesden_Green,1
Brondesbury,Clapham_Junction,1
Brondesbury,Hackney_Central,1
Brondesbury,Walthamstow_Central,1
Camden_Road,West_Hampstead_LO,1
Camden_Town,Tottenham_Court_Road,1
Charing_Cross_LU,Kilburn_Park,1
Charing_Cross_NR,Brondesbury,1
Clapham_Junction,Brondesbury,1
Embankment,Willesden_Green,1
Euston_LU,Golders_Green,1
Euston_LU,Walthamstow_Central,1
Euston_NR,Kilburn_High_Road,1
Finchley_Road,Wembley_Park,1
Finchley_Road_&_Frognal,Walthamstow_Central,1
Finsbury_Park_LU,Walthamstow_Central,1
Gloucester_Road,Willesden_Green,1
Green_Park,Oxford_Circus,1
Green_Park,Shepherds_Bush_LU,1
Green_Park,Waterloo_LU,1
Hackney_Central,Brondesbury,1
Heathrow_Terminals_123_LU,Victoria_LU,1
Highbury_&_Islington,Brondesbury,1
Highbury_&_Islington,Walthamstow_Central,1
Holloway_Road,Kings_Cross_LU,1
Holloway_Road,Waterloo_LU,1
Kensal_Rise,Hoxton,1
Kilburn,Green_Park,1
Kilburn_Park,Charing_Cross_LU,1
Kilburn_Park,Pimlico,1
Kilburn_Park,Sloane_Square,1
Kilburn_Park,Warwick_Avenue,1
Kings_Cross_LU,Covent_Garden,1
Kings_Cross_LU,Highbury_&_Islington,1
Kings_Cross_LU,Holloway_Road,1
Kings_Cross_LU,Kilburn,1
Kings_Cross_LU,Swiss_Cottage,1
Kings_Cross_LU,Walthamstow_Central,1
Kings_Cross_NR,Kings_Cross_NR,1
Lambeth_North,Kilburn_Park,1
Lambeth_North,Willesden_Green,1
London_Bridge_LU,Archway,1
London_Bridge_LU,Baker_Street,1
London_Bridge_LU,Brondesbury,1
London_Bridge_LU,Lambeth_North,1
London_Bridge_LU,South_Kenton,1
London_Bridge_LU,Victoria_LU,1
London_Bridge_LU,Wembley_Park,1
London_Bridge_NR,Brondesbury,1
Marylebone_LU,Willesden_Green,1
North_Dulwich,London_Bridge_NR,1
Oxford_Circus,Kilburn_Park,1
Oxford_Circus,Swiss_Cottage,1
Oxford_Circus,Willesden_Green,1
Paddington_NR,Paddington_NR,1
Piccadilly_Circus,Kilburn_Park,1
Pimlico,Kilburn,1
Regents_Park,Piccadilly_Circus,1
Richmond,Waterloo_NR,1
Seven_Sisters,Finsbury_Park_LU,1
Sloane_Square,Highbury_&_Islington,1
